Name,Address,total_enrollment_fall_2019,vaccination_required_everyone,Latitude,Longitude,City,State,County,Zip
Asbury University,"1 Macklem Dr, Wilmore, Kentucky 40390-1198",1940,NO,37.86232,-84.662245,Wilmore,KY,Jessamine County,40390
Concord University,"1000 Vermillion Street, Athens, West Virginia 24712",1886,NO,37.423142,-81.009851,Athens,WV,Mercer County,24712
West Virginia University Institute of Technology,"512 South Kanawha Street, Beckley, West Virginia 25801",1794,NO,37.775891,-81.184092,Beckley,WV,Raleigh County,25801
Kenyon College,"Kenyon College, Gambier, Ohio 43022",1750,YES,40.385029,-82.399627,Gambier,OH,Knox County,43022
Asbury Theological Seminary,"204 N Lexington Ave, Wilmore, Kentucky 40390-1199",1698,NO,37.863209,-84.660568,Wilmore,KY,Jessamine County,40390
Berea College,"101 Chestnut Street, Berea, Kentucky 40404-2182",1688,YES,37.568837,-84.296705,Berea,KY,Madison County,40403
Wright State University-Lake Campus,"7600 Lake Campus Drive, Celina, Ohio 45822-2952",1661,NO,40.556645,-84.628714,Celina,OH,Mercer County,45822
Ohio Dominican University,"1216 Sunbury Road, Columbus, Ohio 43219",1640,NO,39.992709,-82.940752,Columbus,OH,Franklin County,43219
Spalding University,"901 S Fourth Street, Louisville, Kentucky 40203-2188",1629,NO,38.24155,-85.75885,Louisville,KY,Jefferson County,40203
Wittenberg University,"Ward St at N Wittenberg Ave, Springfield, Ohio 45504",1619,NO,39.932713,-83.809604,Springfield,OH,Clark County,45504
Notre Dame College,"4545 College Rd, Cleveland, Ohio 44121-4293",1612,NO,41.507709,-81.515485,Cleveland,OH,Cuyahoga County,44121
Glenville State College,"200 High Street, Glenville, West Virginia 26351-1292",1575,NO,38.934897,-80.833255,Glenville,WV,Gilmer County,26351
University of Rio Grande,"218 N College Ave, Rio Grande, Ohio 45674",1554,NO,38.882462,-82.377496,Rio Grande,OH,Gallia County,45674
Lourdes University,"6832 Convent Blvd, Sylvania, Ohio 43560-2898",1547,NO,41.708251,-83.708042,Sylvania,OH,Lucas County,43560
Malone University,"2600 Cleveland Avenue NW, Canton, Ohio 44709-3308",1524,NO,40.826458,-81.384791,Canton,OH,Stark County,44709
Ohio Wesleyan University,"61 S Sandusky Street, Delaware, Ohio 43015-2370",1494,NO,40.296676,-83.06679,Delaware,OH,Delaware County,43015
Georgetown College,"400 East College Street, Georgetown, Kentucky 40324-1696",1484,NO,38.207013,-84.55471,Georgetown,KY,Scott County,40324
Centre College,"625 W Walnut St, Danville, Kentucky 40422-1394",1411,NO,37.645163,-84.77766,Danville,KY,Boyle County,40422
Midway University,"512 E. Stephens St, Midway, Kentucky 40347-1120",1357,NO,38.146181,-84.682494,Midway,KY,Woodford County,40347
Potomac State College of West Virginia University,"101 Fort Ave, Keyser, West Virginia 26726",1300,NO,39.438882,-78.981366,Keyser,WV,Mineral County,26726
Hiram College,"Hiram, Ohio 44234-0067",1284,NO,41.310354,-81.1652,Hiram,OH,Portage County,44234
Heidelberg University,"310 E Market St, Tiffin, Ohio 44883-2462",1247,NO,41.116336,-83.168531,Tiffin,OH,Seneca County,44883
Wilmington College,"1870 Quaker Way, Wilmington, Ohio 45177",1231,NO,39.444341,-83.81634,Wilmington,OH,Clinton County,45177
West Virginia Wesleyan College,"59 College Ave, Buckhannon, West Virginia 26201-2994",1226,NO,38.990051,-80.219752,Buckhannon,WV,Upshur County,26201
Marietta College,"Irvine Bldg, Marietta, Ohio 45750",1217,NO,39.413446,-81.351051,Marietta,OH,Washington County,45750
Union College,"310 College St, Barbourville, Kentucky 40906-1499",1140,NO,36.868309,-83.886821,Barbourville,KY,Knox County,40906
Columbus College of Art and Design,"60 Cleveland Ave., Columbus, Ohio 43215",1093,NO,39.964836,-82.990047,Columbus,OH,Franklin County,43215
Ohio State University-Mansfield Campus,"1760 University Drive, Mansfield, Ohio 44906",1078,NO,40.798828,-82.578423,Mansfield,OH,Richland County,44906
Lake Erie College,"391 W Washington St, Painesville, Ohio 44077-3389",1056,NO,41.717183,-81.253009,Painesville,OH,Lake County,44077
Ursuline College,"2550 Lander Rd, Pepper Pike, Ohio 44124",1050,NO,41.496021,-81.463114,Cleveland,OH,Cuyahoga County,44124
Brescia University,"717 Frederica St, Owensboro, Kentucky 42301-3023",1014,NO,37.768981,-87.112519,Owensboro,KY,Daviess County,42301
Salem University,"223 W Main St, Salem, West Virginia 26426",960,NO,39.283545,-80.567163,Salem,WV,Harrison County,26426
